text	label	prediction
"accueil sympa par 2 sénior""e""s qui mettent à l'aise"	positive accueil                                                                                                                            	" positive accueil par 2 sénior""e""s       "
Le rapport qualité prix est au top avec une cuisine locale et une climatisation manuelle qui nécessite une explication	positive cuisine                                                                                                                             	 positive cuisine locale | positive climatisation manuelle        
Pour éviter une trop grosse demande incompatible avec leur taille de four, le souffle au grand margnier ne figure pas a la carte aussi prévoir de le commander en début de repas	neutral carte                                                                                                                             	 negative souffle au grand margnier | negative souffle au grand margnier 
Une originalité :les légumes sont comptés à part, sans doute pour ne pas renchérir le prix des plats	neutral légumes | neutral plats                                                                                                                         	 neutralité :les légumes sont comptés à part | negative plats
Un restaurant a l'ancienne qui a bien du charme	positive restaurant | positive restaurant                                                                                                                          	 positive restaurant ancienne               
Les fruits de mer en entrée étaient dégoûtants (sont-ils frais?).	negative fruits de mer                                                                                                                         	 negative fruits de mer en entrée           
Les chipirons à l'encre étaient sucrés et insipides (sûrement congelés), l'assiette du pêcheur un peu mieux, mais on sent que rien n'est frais, ni préparé sur place et qu'ils utilisent des produits de mauvaise qualité.	negative chipirons à l'encre | neutral assiette du pêcheur | negative produits                                                                                                       	 negative chipirons à l'encre | negative assiette du pêcheur
Les desserts étaient mangeables.	neutral desserts                                                                                                                            	 positive desserts                 
Le service ne venait pas vraiment relever le niveau.	negative service                                                                                                                            	 negative service                     
Il doit pas aller très bien!	negative Il doit pas aller très bien!                                                                                                                   	 negative Dentist                    
Nous avons pris l'assiette decouverte à 20 euros et nous n'avons pas été deçus Anchois, axoa, pommes de terre fromage salade ect.. copieux et surtout bon Produits frais, bien cuisinés La sangria était parfaite..	positive assiette decouverte | positive Produits | positive assiette decouverte | positive sangria                                                                                                           	 positive assiette decouverte | positive anchois | positive axoa | positive pommes de terre | positive salade
restaurant dans une charmante petite rue piétonne de Saint Jean de Luz.	positive rue piétonne                                                                                                                          	 positive restaurant                      
surprise avant même de passer la commande : une araignée était logée dans le menu!!! Aussitôt l'apéritif servi, la serveuse nous a apporté les soupes de poissons!	negative serveuse                                                                                                                           	 negative serveuse                 
erreur vite rectifiée par le patron.	positive patron                                                                                                                             	 negative patron                  
J'ai commandé un magret bleu avec des frites, celui ci est arrivé servi avec du gratin de pommes de terre.	negative magret                                                                                                                           	 negative magret bleu avec des frites | negative gratin de pommes de terre
il est reparti en cuisine pour être servi avec des frites et à son retour devant moi, il était froid!!! franchement pas le restaurant où je retournerai!	negative restaurant                                                                                                                            	 negative restaurant                  
En plus la serveuse n'est même pas agréable et souriante	negative serveuse                                                                                                                           	 negative serveuse 
Le cadre, dîner au bord de la piscine.	positive cadre                                                                                                                            	 positive cadre  
La cuisine qui mériterait largement une étoile au Michelin.	positive cuisine                                                                                                                             	 positive cuisine   
Ce restaurant sur le port à attirer notre attention par la sobriété de sa carte.	positive carte                                                                                                                             	 positive restaurant sur la port
L'apéro à été un peu accéléré par un serveur visiblement pressé de finir son service et qui est venu nous proposer de goûter le vin alors que nous commentions seulement à goûter les toast de tapenade.	negative serveur                                                                                                                           	 negative serveur          
( repris rapidement par le chef de salle)	neutral chef de salle                                                                                                                          	 negative chef de salle        
En entrée un assortiment de charcuterie corse et des beignets de fromages excellentes.	positive assortiment de charcuterie corse | positive beignets de fromages                                                                                                              	 positive charcuterie corse | positive beignets de fromages
Puis une dorade du jour avec petits légumes : joliment présenté et très savoureux.	positive dorade du jour | positive dorade du jour                                                                                                                    	 positive dorade du jour avec petits légumes   
Au final une bonne table à découvrir!	positive table                                                                                                                             	 positive table          
service mauvais	negative service                                                                                                                            	 negative service         
prix abusif pour la prestation	negative prix abusif pour la prestation                                                                                                                      	 negative prestation | negative prestation   
Vieux mouton en guise d'agneau	negative agneau                                                                                                                           	 negative mouton en guise d'agneau
assiette corse pire que sandwich SNCF	negative assiette corse                                                                                                                         	 negative assiette corse           
assiette de fromage au singulier.....	negative assiette de fromage                                                                                                                        	 negative assiette de fromage          
J'y suis allé plusieurs fois l'an passé c'était très correcte mais à priori quelque chose a changé en cuisine par rapport à l'an dernier car c'est devenu un vrai cauchemar.	negative cuisine                                                                                                                            	 positive cuisine | negative cuisine           
Pizza avec la pate caoutchouc et pas cuite, entrecôte hyper grasse j'ai dû en manger 1/4.	negative Pizza | negative entrecôte | negative pate                                                                                                                  	 negative Pizza | negative pate caoutchouc | negative entrecôte
Très bel endroit pour une pause déjeuner, à l'abri du soleil, avec un petit air rafraîchissant et vue sur le port.	positive vue | positive endroit | positive endroit                                                                                                                     	 positive endroit | positive air rafraîchissant
Cuisine simple mais bonne, Marco vous accueille très bien, vous donne des bonnes adresses si vous demandez.	positive Cuisine | neutral Cuisine                                                                                                                          	 positive Cuisine | positive Marco      
C'est un endroit très agréable.	positive endroit                                                                                                                            	 positive endroit        
On y a manger le soir, sa terrasse est sur une place très jolie avec son églises.	positive place | positive terrasse                                                                                                                          	 positive terrasse | positive églises     
Le repas était très bon l'entrée, le plat et le dessert.	positive repas                                                                                                                             	 positive repas | positive entrée | positive plat | positive dessert
Juste un blême le serveur ou le directeur (j'ai pas compris ) avec son cigare il se reconnaîtra (tant pis), et il parle trop!!!!	negative serveur | negative directeur                                                                                                                      	 negative serveur | negative directeur   
Honnêtement le cadre du restaurant est plutôt sympathique.	positive cadre                                                                                                                            	 positive cadre         
"Le service et l'accueil est ""jeune"" et professionnel."	positive service | positive accueil                                                                                                                         	 positive service | positive accueil      
La carte vous propose un large choix type brasserie.	positive carte                                                                                                                             	 positive carte brasserie          
Le Burger aux fromages est bien présenté, mais la tranche de fromage est égale au Macdonald... Aucune saveur et intérêt...	positive Burger aux fromages | negative tranche de fromage                                                                                                                  	 neutrale Burger aux fromages | negative tranche de fromage
La sauce roquefort trop crémeuse, pas de goût...	negative sauce roquefort                                                                                                                        	 negative sauce roquefort       
La mousse au chocolat est en réalité une ganache pleine d'eau...	negative mousse au chocolat                                                                                                                         	 negative mousse au chocolat        
Vraiment dommage vu le quartier et le cadre.	positive quartier | positive cadre                                                                                                                        	 negative quartier | negative cadre   
De l'accueil à l'assiette en passant par le rythme du service.	positive accueil | positive assiette | positive service                                                                                                                     	 positive accueil | positive assiette | positive service  
Le décor est magnifique et c'est mieux de réserver une table au second étage où se situe la verrière ouverte en été.	positive décor | positive verrière                                                                                                                        	 positive décor | positive verrière ouverte en été
La cuisine est à la hauteur de la réputation de ce restaurant.	positive cuisine | positive restaurant                                                                                                                          	 positive cuisine | positive restaurant       
Les entrées sont à 7 euros et copieuses.	positive entrées | positive entrées                                                                                                                      	 positive entrées | positive entrées 
Les plats sont bons mais ne vous attendez pas à de grandes surprises.	positive plats | neutral plats                                                                                                                          	 positive plats | negative plats    
"Ils maîtrisent les plats typiques ""bistrot""."	neutral plats | positive plats                                                                                                                          	" positive plats ""bistrot""    "
Les viandes sont excellentes notamment la bavette échalotes.	positive bavette échalotes | positive viandes                                                                                                                    	 positive viande | positive bavette échalotes
Leur petit pot au chocolat en dessert est une tuerie.	positive pot au chocolat                                                                                                                           	 positive petit pot au chocolat en dessert         
Mon compagnon est végétarien et ils n'ont actuellement que des gnocchis à la crème de crustacés à proposer en plat.	negative plat                                                                                                                            	 negative gnocchis à la crème de crustacés
Mais nous resterons des clients réguliers de cette adresse incontournable des amoureux des brasseries typiquement parisienne.	positive adresse                                                                                                                             	 positive brasseries typiquement parisienne         
Le lieu est très sympathique, bien décoré.	positive lieu | positive lieu                                                                                                                        	 positive lieu | positive décoré         
Les plats n'ont aucun goût, pas d'assaisonnement c'est tout à fait grossier pour une note bien salée.	negative plats | negative plats | negative plats                                                                                                                    	 negative plats | negative assaisonnement  
Pour bien connaitre la cuisine marocaine ce restaurant a tout d'un attrape touriste qui fait honte à la cuisine locale.	negative restaurant | negative cuisine                                                                                                                        	 negative restaurant         
Cette salle dansante est agréable malgré son étroitesse nous nous sommes amusés mais il y avait peu de monde alors je ne sais pas si le plaisir est toujours là les soirs d'affluence.	neutral salle dansante                                                                                                                          	 positive salle dansante | negative salle dansante
Le service est correct poli mais sans entrain.	neutral service                                                                                                                             	 neutral service          
Attente démesurée, le vin demandé n'est plus en cave, mais on ne nous en propose pas d'autre!	negative Attente | negative vin                                                                                                                       	 negative vin                
Par contre, sur la note, un vin très cher est compté!!	negative Par contre, sur la note, un vin très cher est compté!!                                                                                                           	 negative vin | negative vin            
3 plats arrivent enfin, puis une viande demandée bleue apportée bien cuite.	negative viande                                                                                                                           	 negative plats | negative viande demandée bleue apportée bien cuite
Longtemps après, les premiers ayant deja fini, la deuxième viande bleue, froide.	negative viande                                                                                                                           	 negative viande bleue            
Personnel peu aimable, peu disponible, un repas d'anniversaire qui a tourné aigre.	negative Personnel                                                                                                                          	 negative Personnel | negative repas anniversaire
En famille, après une longue balade, la météo sympathique a fait que la terasse nous a attiré.	positive terasse                                                                                                                            	 positive terasse        
Le service et la cuisine sont correctes.	neutral service | neutral cuisine                                                                                                                          	 positive service | positive cuisine      
Les enfants ont adoré le mi-cuit au chocolat maison.	positive mi-cuit au chocolat                                                                                                                        	 positive mi-cuit au chocolat maison   
Si vous passez par là, vous pouvez vous arreter pour le cadre, les oiseaux et canards environnants, mais sans attendre quelque chose d'exceptionnel de la cuisine.	positive cadre | neutral cuisine                                                                                                                         	 positive cadre | positive oiseaux | positive canards   
Entrée plat dessert en plein Montmartre avec une qualité correcte, je trouve ça pas mal.	neutral Entrée plat dessert | positive Montmartre                                                                                                                     	 neutral Entrée plat dessert | positive Montmartre     
Ravioles et tartiflette correctes, crêpe suzette passable.	neutral Ravioles | neutral tartiflette | negative crêpe suzette                                                                                                               	 positive Ravioles | positive tartiflette | positive crêpe suzette
Effectivement les serveurs sont chez eux et ne font pas cas des clients quand ils discutent.	negative serveurs                                                                                                                           	 positive serveurs            
Après ça mais une certaine ambiance dans la salle.	neutral ambiance                                                                                                                            	 negative ambiance      
Repas ordinaire mais qui permet de manger à moindre coût et au chaud.	neutral Repas | positive Repas                                                                                                                        	 neutrale Repas ordinaire | positive Repas
Le personnel n'est pas très sympa.	negative personnel                                                                                                                            	 negative personnel       
On est un peu à l'étroit mais c'et le principe de ce genre de petite brasserie, déco à revoir car vieillissante mais familiale et conviviale.	positive déco | neutral brasserie | negative déco                                                                                                                     	 negative brasserie | positive déco   
Dîner décevant de tout point de vue : ambiance assez triste (seulement 4 tables occupées ce dimanche soir), service un peu froid (une seule personne en salle, souvent absente, il fallait attendre son retour à chaque fois que nous voulions demander quelque chose), plats décevants : le riz arborio aux truffes apparaissant dans le menu à la carte disponible sur le site web du restaurant était devenu un simple risotto aux champignons (	negative ris de veau | negative riz arborio aux truffes | negative riz arborio aux truffes | negative ris de veau | negative ambiance | negative service | negative plats                                                                             	 negative riz arborio aux truffes | negative service | negative plats
Vins au verre décevants.	negative Vins au verre                                                                                                                        	 negative Vins au verre décevants        
Le soufflé que j'avais repéré sur la carte du site web n’était plus proposé.	negative carte                                                                                                                            	 negative soufflé              
Une adresse à conseiller si vous aimez la cuisine traditionnelle, avec juste ce qu'il faut de goût.	positive cuisine traditionnelle                                                                                                                           	 positive cuisine traditionnelle | positive cuisine traditionnelle          
Les escargots sont délicieux, l'os à moelle savoureux, et le bourguignon de nos voisins embaumait...	positive escargots | positive os à moelle | positive bourguignon                                                                                                             	 positive escargots | positive os à moelle | positive bourguignon
Petite salle mais beaucoup moins bruyante que l'on pourrait le croire, les vieilles pierres absorbent le bruit.	positive salle                                                                                                                            	 negative salle | positive vieilles pierres       
Service souriant, ni trop lent ni trop rapide.	positive Service                                                                                                                             	 positive Service                
Bon, un peu cher mais ce n'est pas un restaurant du quotidien.	neutral restaurant | neutral restaurant                                                                                                                          	 neutral restaurant | negative restaurant            
Menus imposés.	negative Menus                                                                                                                           	 negative Menus                 
Apéritifs médiocres.	negative Apéritifs                                                                                                                          	 negative apéritifs               
Assiettes de tapas ridicules.	negative Assiettes de tapas                                                                                                                         	 negative Assiettes de tapas               
Plat arrivé froid, viande mal cuite, pomme de terre froides, courgettes crues, salade chaude, plat trop salé dans son ensemble, bon point pour la sauce au vin.	negative Plat | negative viande | negative pomme de terre | negative courgettes | negative salade | positive sauce au vin | negative plat                                                                                           	 negative Plat | negative viande | negative courgettes | negative sauce au vin
Vin âcre.	negative Vin                                                                                                                            	 negative Vin âcre         
Tarte aux pommes au calva sans calva digne d'une cantine d'école.	negative Tarte aux pommes au calva | negative Tarte aux pommes au calva                                                                                                          	 negative Tarte aux pommes au calva sans calva  
Arnaque du siècle, les assiettes sont peu fournies, les plats médiocres et le rapport qualité/ prix est totalement ahurissant.	negative assiettes | negative plats                                                                                                                       	 negative assiettes | negative plats | negative rapport qualité/ prix
Des frites surgelées...	negative frites                                                                                                                           	 negative frites surgelées         
Des boissons hors de prix.. mais c'est la même chose sur toute la place... des sièges peu confortables mais une couverture proposée... une naturelle bonne humeur...	negative boissons                                                                                                                           	 negative boissons | positive sièges | positive couverture 
une nourriture correcte...	neutral nourriture                                                                                                                           	 positive nourriture          
Ce petit restaurant discret vaut le détour, d'abord - et il faut le souligner - pour le chaleureux accueil que le patron réserve à ses clients (merci pour le kir ;), mais aussi pour la qualité des plats servis.	positive plats | positive restaurant | positive accueil                                                                                                                      	 positive accueil | positive plats servis       
Les entrées sont simples mais très bonnes, et le menu offre deux séries de plats qui permettent de s'adapter à tous les budgets.	positive entrées | positive menu | positive plats | neutral entrées                                                                                                                	 positives entrées | positive menu | positive séries de plats
L'assaisonnement était réalisé directement en cuisine et particulièrement délicieux.	positive assaisonnement                                                                                                                           	 positive assaisonnement         
La gamme de dessert est humble, mais chacun d'eux est relevé par une petite touche créative du patron, qui en relève la saveur.	positive dessert | neutral dessert                                                                                                                          	 neutral gamme de desserts | positive touche créative du patron
"Sans hésiter un endroit où il fait bon manger avec un ami ou un membre de sa famille, et qui contraste fortement avec les brasseries ""industrielles"" que l'on trouve parfois à Paris."	positive endroit | positive endroit                                                                                                                        	" positive brasseries ""industrielles""       "
Une cuisine fine, créative et absolument délicieuse, un cadre chaleureux et un service très agréable.	positive cuisine | positive cadre | positive service | positive cuisine                                                                                                                   	 positive cuisine | positive cadre | positive service     
En entrée, nous avons pris le haddock façon flammekueche (délicieux) et une sorte de canard confis en gelée avec noix et poires (très bon).	positive haddock façon flammekueche | positive canard confis                                                                                                                	 positive haddock façon flammekueche | positive canard confis en gelée avec noix et poires
En plat, j'ai complètement craqué sur le cabillaud risotto émulsion de chorizo (très surprenant).	positive cabillaud risotto émulsion de chorizo                                                                                                                   	 positive cabillaud risotto émulsion de chorizo             
Enfin la masterpiece : le riz au lait vanille sauce caramel beurre salé (divin).	positive riz au lait vanille sauce caramel beurre salé                                                                                                                 	 positive riz au lait vanille sauce caramel beurre salé (divin)       
La tarte sablée aux agrumes était également parfaite pour rafraîchir un diner particulièrement copieux.	positive tarte sablée aux agrumes | positive diner                                                                                                                  	 positive tarte sablée aux agrumes                
Les serveurs étaient également adorables.	positive serveurs                                                                                                                            	 positive serveurs          
Un formidable moment, nous y retournerons c'est sûr, et recommandons chaudement ce restaurant!	positive restaurant                                                                                                                             	 positive restaurant           
le service etait proche du zero absolue et le serveur pas tres aimable mais... si la bouffe etait correcte, je ne serai pas venu ici mettre un avis..	negative service | negative serveur | negative bouffe                                                                                                                  	 negative service | negative serveur | negative bouffe
oh mon dieu, frites pas bien cuite, froide et qui sortent a peine du congelateur...la bavette aie aie aie, elle a baigne dans l'huile et aucun gout...	negative frites | negative bavette                                                                                                                      	 negative frites | negative bavette    
je pense me rattraper sur le dessert avec la mousse au chocolat lol, et je goute une mousse execrable vraiment!	negative mousse au chocolat                                                                                                                         	 negative mousse au chocolat                       
pas de chance, jetais malade l'apres midi, le repas y est ss doute pour quelque chose!!	negative repas                                                                                                                            	 negative repas                          
Le meilleur cadre de la rue avec ses poutres et ses charpentes authentiques des tables spacieuses des prix et un rapport qualité prix rare avec des produits frais et fais maison.	positive cadre | positive produits                                                                                                                        	 positive cadre | positive poutres | positive charpentes | positive tables spacieuses | positive produits frais | positive tables
Différentes formules à 12,5€, 15,80€ et 18,90€ qui regroupent entrée + plat + dessert!!! Autant dire que c'est très rare à St.	positive formules | positive formules                                                                                                                        	 negative entrée | negative plat | negative dessert                 
Les serveurs sont très souriants et patients.	positive serveurs                                                                                                                            	 positive serveurs     
Je suis allé à plusieurs reprises lors de mes escapades parisiennes, dîner dans cet établissement bien situé.	positive établissement                                                                                                                            	 positive établissement     
L'accueil est très sympathique ; le personnel est dynamique, serviable.	positive accueil | positive personnel                                                                                                                         	 positive accueil | positive personnel  
Manger le soir en terrasse est un pur régal.	positive terrasse                                                                                                                             	 positive Manger le soir en terrasse
Le contenu des assiettes est tout aussi réussi : copieux et très bon de l'entrée aux desserts.	positive assiettes | positive assiettes                                                                                                                        	 positive contenu des assiettes      
Je continuerai aller passer de bons moments dans cet établissement lors de mes prochains voyages dans un cadre charmant	positive établissement | positive cadre                                                                                                                        	 positive établissement | positive cadre     
Nous avons été au départ attirés par une terrasse ensoleillée, au calme et par sa carte aux prix raisonnables.	positive terrasse | positive carte                                                                                                                          	 positive terrasse | positive carte       
Les plats sont bons voire très bons, extrêmement variés avec un menu du jour poisson et viande modifié quotidiennement (Soupe de pois capuchino à ne pas manquer) Il s'agit d'une cuisine familiale faite maison la plupart du temps.	positive plats | positive menu du jour | positive Soupe de pois capuchino | positive cuisine | positive plats | positive cuisine                                                                                                     	 positive plats | positive menu du jour poisson et viande
L'équipe est sympa,serviable.	positive équipe                                                                                                                            	 positive équipe                 
Un restaurant d'une médiocrité sans nom!	negative restaurant                                                                                                                            	 negative restaurant                 
Nous avons attendu 15 mn pour qu'on nous prépare la table et 40mn après avoir commandé pour être servies un boeuf bourguignon dont la qualité et le goût laissent à désirer!	negative boeuf bourguignon                                                                                                                       	 negative boeuf bourguignon | negative boeuf bourguignon   
Des pommes de terres quasiment crues avec des carottes crues et une sauce sans goût et non assaisonnée!	negative pommes de terres | negative carottes | negative sauce                                                                                                             	 negative pommes de terres | negative carottes crues | negative sauce
Aucune communication de la part du personnel qui a servi d'autres clients arrivés après avant nous (entrée et plat) compris!	negative personnel                                                                                                                            	 negative personnel              
J'ai vraiment failli partir au bout d'une 40mn d'attente lorsque j'ai vu l'assiette arriver car j'ai clairement trouvé le comportement de la patronne exécrable et dédaigneux.	negative patronne                                                                                                                           	 negative patronne             
La vue de l'extérieur sur la grande étagère de bouteilles de vins nous a attirée.	positive grande étagère de bouteilles de vins                                                                                                                      	 positive vue de l'extérieur sur la grande étagère de bouteilles de vins
Nous sommes donc rentrés dans ce resto bar à vins à la déco hyper originale!	positive déco                                                                                                                             	 positive déco | positive resto bar à vins        
Les serveurs sont adorables, le vin et les conseils pour le choisir sont au top!	positive serveurs | positive vin                                                                                                                         	 positive serveurs | positive vin | positive conseils
Nous avons moins été séduits par les plats que nous avons trouvé un peu chers vs la qualite proposée bien que les produits soient frais et ça c'est important.	neutral plats | positive produits | negative plats                                                                                                                     	 negative plats | positive produits   
Dans une rue calme, l'accueil y est sympathique et chaleureux, la salle agréable et confortable.	positive salle | positive accueil | positive rue                                                                                                                     	 positive accueil | positive salle   
En famille ou entre amis, la tonalité de la musique à hauteur convenable, permet de tenir une conversation sans hurler, tout en dégustant d'excellents plats, joliment présentés et très savoureux, servis avec le sourire et accompagnés de très bons vins.	positive musique | positive plats | positive plats | positive vins                                                                                                                   	 positives plats | positives plats | positive vins
Je suis bien conscient que cet avis ne changera rien, le bar étant placé de manière à toujours pouvoir attirer des touristes mais bon, un lieu aussi scandaleux merite d'être dénoncé.	neutral bar | negative lieu                                                                                                                        	 negative bar | negative lieu
Le serveur dont nous avons hérité est un vieil acariâtre dont l'impolitesse traduit le dégoût qu'il a pour son métier et le peu d'estime qu il se porte sans doute à lui-même.	negative serveur                                                                                                                           	 negative serveur    
Ce service désagréable au possible est couronné d'une carte incompréhensible, aux prix exhorbitants.	negative service | negative carte | negative carte                                                                                                                    	 negative service | negative carte 
Déjà le restaurant n'est pas très bien placé je trouve.	negative restaurant                                                                                                                            	 negative restaurant     
Accueil pas trop mauvais, mais j'aurais préféré pouvoir discuter avec mon conjoint sans être écouté par une des serveuses..	neutral Accueil | negative serveuses                                                                                                                        	 neutral Accueil | negative serveuses
Au niveau du repas, ce fut assez rapide pour être servi.	positive Au niveau du repas, ce fut assez rapide pour être servi.                                                                                                             	 positive repas     
Le repas était assez bon, mais tout est sûrement congeléx et c'est dommage d'avoir eu mon dessert quand mon homme avait fini!	neutral repas | negative repas                                                                                                                         	 positive repas | negative dessert 
Nous avons découvert ce restaurant avec Groupon, je ne le conseille pas sans cette offre.	negative restaurant                                                                                                                            	 positive restaurant     
la terrasse est grande et en grande partie ensoleillée, le service est efficace et rapide, formule changeant tous les jours, et il y des plats avec supplément qui moi me mettent souvent l'eau à la bouche.	positive terrasse | positive plats | positive service | positive formule                                                                                                                    	 positive terrasse | positive service | negative plats avec supplément
ah : quand il fait un peu frisquet, la terrasse est chauffée et ils mettent des plaids à dispo sur les chaises, ça aide :)	positive terrasse                                                                                                                             	 positive terrasse | positive plaids à dispo sur les chaises
